Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
LF_Gyr_X_spec_centroid,LF,Gyr,X_spec_centroid,6.532494,1.260849,3.604992,15.266111,6.381180,6.707674,1.126918,6.540248,372,6.505164,1.284114,6.370196,1486,6.444798,1.287879,6.169540,280
LF_Gyr_X_spec_power,LF,Gyr,X_spec_power,483.954536,363.836753,0.053217,3248.935717,388.473079,693.983078,341.205058,666.837813,372,449.215146,360.770187,353.084528,1486,389.283518,303.533508,316.883061,280
LF_Gyr_Y_mean,LF,Gyr,Y_mean,-0.010968,0.090609,-0.351091,0.647154,-0.011027,-0.025206,0.101763,-0.023725,372,-0.004792,0.091272,-0.008080,1486,-0.024827,0.064091,-0.016769,280
LF_Gyr_Y_std,LF,Gyr,Y_std,2.743460,1.014531,0.016893,5.049677,2.776360,3.779562,0.665361,3.858456,372,2.504778,0.943112,2.566132,1486,2.633644,0.902184,2.760955,280
LF_Gyr_Y_rms,LF,Gyr,Y_rms,2.744909,1.014717,0.024769,5.049738,2.780496,3.780980,0.665544,3.860764,372,2.506347,0.943370,2.568534,1486,2.634495,0.902311,2.761684,280
LF_Gyr_Y_dom_freq,LF,Gyr,Y_dom_freq,1.676310,0.364779,0.166667,6.666667,1.666667,1.734138,0.263505,1.833333,373,1.671365,0.395454,1.666667,1490,1.625595,0.295323,1.666667,280
LF_Gyr_Y_spec_centroid,LF,Gyr,Y_spec_centroid,5.199333,1.326042,2.324836,12.494663,5.004700,5.149604,1.225736,5.096803,372,5.262030,1.354362,5.064330,1486,4.932662,1.269537,4.646608,280
LF_Gyr_Y_spec_power,LF,Gyr,Y_spec_power,5150.382266,3324.903983,0.171788,15350.708996,4640.360415,8865.505131,2825.093926,8962.487653,372,4312.034249,2880.233307,3964.219528,1486,4663.808859,2743.013176,4589.020676,280
LF_Gyr_Z_mean,LF,Gyr,Z_mean,-0.001244,0.095779,-0.453486,0.817782,0.000972,-0.001222,0.133258,-0.010886,372,0.005226,0.085855,0.008619,1486,-0.035608,0.077532,-0.031652,280
LF_Gyr_Z_std,LF,Gyr,Z_std,1.178267,0.501314,0.010820,2.899756,1.131789,1.469940,0.530773,1.420955,372,1.135940,0.468511,1.081224,1486,1.015395,0.482099,1.008332,280
