Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
LB_Acc_Z_rms,LB,Acc,Z_rms,2.607646,1.241706,0.078925,7.280611,2.440523,2.617075,1.101072,2.485512,1482,2.657018,1.291513,2.465026,5285,2.367977,1.148785,2.269170,1147
LB_Acc_Z_dom_freq,LB,Acc,Z_dom_freq,1.510526,0.532216,0.166667,5.000000,1.666667,1.648223,0.448316,1.666667,1482,1.512607,0.524577,1.666667,5288,1.323017,0.606278,1.500000,1147
LB_Acc_Z_spec_centroid,LB,Acc,Z_spec_centroid,5.728914,1.565146,1.872965,13.423174,5.612820,6.234742,1.461525,6.145895,1482,5.446840,1.522583,5.254332,5285,6.375056,1.532826,6.155131,1147
LB_Acc_Z_spec_power,LB,Acc,Z_spec_power,724.507428,596.861034,0.404455,4915.683455,570.914083,1214.106206,776.726729,1102.096378,1482,617.287879,478.783079,509.890439,5285,585.945900,490.899290,459.117696,1147
LB_FreeAcc_X_mean,LB,FreeAcc,X_mean,-0.004074,0.161748,-0.799434,1.267512,-0.003823,0.010595,0.148849,0.004337,1482,-0.004194,0.170431,-0.006159,5285,-0.022475,0.132169,-0.008307,1147
LB_FreeAcc_X_std,LB,FreeAcc,X_std,1.135059,0.610263,0.011815,5.108691,1.030091,1.665762,0.702179,1.664377,1482,1.006753,0.493554,0.926693,5285,1.040548,0.601730,1.045237,1147
LB_FreeAcc_X_rms,LB,FreeAcc,X_rms,1.148451,0.606641,0.012230,5.109331,1.045423,1.672028,0.703132,1.667625,1482,1.022809,0.489965,0.947230,5285,1.050873,0.598699,1.054197,1147
LB_FreeAcc_X_dom_freq,LB,FreeAcc,X_dom_freq,1.939792,0.854323,0.166667,11.500000,1.833333,1.858075,0.545054,1.833333,1482,1.930440,0.839661,1.833333,5288,2.088492,1.172114,1.666667,1147
LB_FreeAcc_X_spec_centroid,LB,FreeAcc,X_spec_centroid,6.006403,1.521999,2.393140,16.673741,5.900854,6.512456,1.458417,6.406317,1482,5.697648,1.436206,5.532089,5285,6.775189,1.540539,6.453208,1147
LB_FreeAcc_X_spec_power,LB,FreeAcc,X_spec_power,999.770377,1083.306835,0.084037,15711.601346,638.781427,1967.045410,1474.517188,1667.648689,1482,756.781552,798.983507,516.978914,5285,869.599795,922.425869,657.705089,1147
LB_FreeAcc_Y_mean,LB,FreeAcc,Y_mean,-0.007688,0.307461,-1.312886,1.647649,-0.010784,0.005318,0.204668,0.003247,1482,-0.011246,0.346737,-0.018360,5285,-0.008098,0.209718,0.000855,1147
LB_FreeAcc_Y_std,LB,FreeAcc,Y_std,0.894588,0.384099,0.014381,2.933497,0.855081,1.078798,0.452637,1.074241,1482,0.837576,0.336728,0.800436,5285,0.919268,0.414290,0.972074,1147
LB_FreeAcc_Y_rms,LB,FreeAcc,Y_rms,0.943938,0.389076,0.015563,2.935100,0.909864,1.097024,0.455100,1.090678,1482,0.901724,0.349494,0.869242,5285,0.940653,0.419375,0.996037,1147
LB_FreeAcc_Y_dom_freq,LB,FreeAcc,Y_dom_freq,1.815397,1.930583,0.166667,12.500000,0.833333,3.256860,2.738209,2.833333,1482,1.453101,1.406676,0.833333,5288,1.623220,1.896660,0.833333,1147
LB_FreeAcc_Y_spec_centroid,LB,FreeAcc,Y_spec_centroid,5.978298,1.553543,2.253798,13.276794,5.860572,6.764154,1.424507,6.737565,1482,5.587384,1.443361,5.408897,5285,6.764123,1.521645,6.607414,1147
LB_FreeAcc_Y_spec_power,LB,FreeAcc,Y_spec_power,570.581678,486.063873,0.124502,5180.509610,440.164793,823.874105,648.139790,694.710215,1482,490.573370,409.244179,385.703828,5285,611.963132,449.470923,568.852200,1147
LB_FreeAcc_Z_mean,LB,FreeAcc,Z_mean,0.061774,0.527771,-2.061406,3.451784,0.025011,0.054342,0.457798,0.036712,1482,0.045014,0.543824,0.013694,5285,0.148604,0.529073,0.070993,1147
LB_FreeAcc_Z_std,LB,FreeAcc,Z_std,1.007679,0.433701,0.025920,2.857539,0.973834,1.334971,0.484539,1.353037,1482,0.942906,0.369242,0.920318,5285,0.883247,0.439733,0.873297,1147
LB_FreeAcc_Z_rms,LB,FreeAcc,Z_rms,1.127325,0.463656,0.025921,4.155589,1.092013,1.398324,0.523482,1.415466,1482,1.074212,0.411340,1.049238,5285,1.021906,0.480615,1.030367,1147
LB_FreeAcc_Z_dom_freq,LB,FreeAcc,Z_dom_freq,1.510526,0.532216,0.166667,5.000000,1.666667,1.648223,0.448316,1.666667,1482,1.512607,0.524577,1.666667,5288,1.323017,0.606278,1.500000,1147
LB_FreeAcc_Z_spec_centroid,LB,FreeAcc,Z_spec_centroid,5.728914,1.565146,1.872965,13.423174,5.612820,6.234742,1.461525,6.145895,1482,5.446840,1.522583,5.254332,5285,6.375056,1.532826,6.155131,1147
LB_FreeAcc_Z_spec_power,LB,FreeAcc,Z_spec_power,724.507428,596.861034,0.404455,4915.683455,570.914083,1214.106206,776.726729,1102.096378,1482,617.287879,478.783079,509.890439,5285,585.945900,490.899290,459.117696,1147
LB_Gyr_X_mean,LB,Gyr,X_mean,0.003330,0.235898,-1.722615,1.806136,0.001268,0.064020,0.283733,0.009433,1482,-0.026492,0.215700,-0.001969,5285,0.062320,0.230939,0.008527,1147
LB_Gyr_X_std,LB,Gyr,X_std,0.417308,0.263110,0.004261,1.667508,0.339847,0.527520,0.325621,0.414632,1482,0.392044,0.232677,0.325784,5285,0.391314,0.268380,0.321067,1147
LB_Gyr_X_rms,LB,Gyr,X_rms,0.452670,0.306786,0.004284,2.102289,0.348231,0.570778,0.378276,0.419525,1482,0.424866,0.273037,0.334154,5285,0.428178,0.314662,0.326555,1147
LB_Gyr_X_dom_freq,LB,Gyr,X_dom_freq,0.874911,0.800666,0.166667,7.166667,0.833333,0.916104,0.886144,0.833333,1482,0.899584,0.813352,0.833333,5288,0.707934,0.573130,0.666667,1147
LB_Gyr_X_spec_centroid,LB,Gyr,X_spec_centroid,5.644135,1.659899,1.407500,14.495273,5.493852,5.711565,1.783219,5.599745,1482,5.638981,1.557073,5.521159,5285,5.580754,1.930421,5.242219,1147
LB_Gyr_X_spec_power,LB,Gyr,X_spec_power,146.506404,183.979406,0.010932,1673.928522,69.529136,231.311711,251.492743,103.495701,1482,125.112917,155.352319,63.893992,5285,135.506505,170.793834,62.057332,1147
LB_Gyr_Y_mean,LB,Gyr,Y_mean,-0.001264,0.030682,-0.280102,0.373509,-0.001700,-0.000684,0.035656,-0.000720,1482,-0.003690,0.029550,-0.003502,5285,0.009159,0.026354,0.005868,1147
LB_Gyr_Y_std,LB,Gyr,Y_std,0.243824,0.123814,0.004055,0.892172,0.222803,0.234691,0.113636,0.215688,1482,0.262769,0.128793,0.242035,5285,0.168332,0.072204,0.174296,1147
LB_Gyr_Y_rms,LB,Gyr,Y_rms,0.245761,0.123792,0.004206,0.899283,0.224565,0.237157,0.114108,0.218552,1482,0.264448,0.128799,0.243726,5285,0.170774,0.071854,0.176492,1147
LB_Gyr_Y_dom_freq,LB,Gyr,Y_dom_freq,1.613806,1.136849,0.166667,12.500000,1.666667,1.794309,1.246480,1.666667,1482,1.626828,1.128732,1.666667,5288,1.320546,0.955441,1.333333,1147
LB_Gyr_Y_spec_centroid,LB,Gyr,Y_spec_centroid,6.177040,1.365843,1.910833,17.559622,6.043021,6.228039,1.234954,6.087409,1482,6.209202,1.326280,6.093830,5285,5.962953,1.657041,5.737821,1147
LB_Gyr_Y_spec_power,LB,Gyr,Y_spec_power,45.016865,48.870570,0.009901,479.180265,29.884331,40.926997,47.921446,28.006090,1482,51.551022,51.963455,35.266212,5285,20.193991,15.427732,18.288322,1147
LB_Gyr_Z_mean,LB,Gyr,Z_mean,0.001960,0.070725,-0.410106,0.409570,0.001324,0.011820,0.080173,0.001566,1482,-0.003301,0.068562,0.001058,5285,0.013461,0.064592,0.002164,1147
LB_Gyr_Z_std,LB,Gyr,Z_std,0.275337,0.146044,0.003056,0.898286,0.254403,0.314670,0.160295,0.299717,1482,0.283798,0.141427,0.265934,5285,0.185529,0.106964,0.174131,1147
LB_Gyr_Z_rms,LB,Gyr,Z_rms,0.281829,0.150723,0.003082,0.928043,0.260894,0.321806,0.166483,0.304736,1482,0.290021,0.145403,0.273198,5285,0.192429,0.114823,0.176599,1147
LB_Gyr_Z_dom_freq,LB,Gyr,Z_dom_freq,1.528104,1.032971,0.166667,8.166667,1.000000,1.869208,1.042735,2.500000,1482,1.487803,1.020122,1.000000,5288,1.273176,0.970260,0.833333,1147
LB_Gyr_Z_spec_centroid,LB,Gyr,Z_spec_centroid,5.807080,1.400511,1.807625,14.469200,5.588421,5.828187,1.413646,5.638208,1482,5.805050,1.332012,5.588416,5285,5.789158,1.667089,5.466701,1147
LB_Gyr_Z_spec_power,LB,Gyr,Z_spec_power,58.476796,59.397963,0.005621,485.770287,38.962466,75.066516,72.914577,54.078515,1482,60.525220,57.398815,42.574302,5285,27.603312,31.151229,18.253848,1147
LF_Acc_X_mean,LF,Acc,X_mean,7.652835,1.628356,2.303662,13.437940,7.538133,8.517972,1.804877,8.580381,1480,7.539702,1.518581,7.398086,5281,7.056898,1.443763,7.115782,1146
LF_Acc_X_std,LF,Acc,X_std,4.327187,2.057221,0.003628,13.010098,4.354386,6.010914,2.166927,6.172108,1480,3.918999,1.725679,3.986963,5281,4.033750,2.214825,4.258343,1146
LF_Acc_X_rms,LF,Acc,X_rms,8.906945,2.200047,2.418288,18.014714,8.745153,10.515593,2.461930,10.751655,1480,8.590396,1.922110,8.435816,5281,8.288180,2.089170,8.370886,1146
LF_Acc_X_dom_freq,LF,Acc,X_dom_freq,1.297419,0.940369,0.166667,13.500000,0.833333,1.179712,0.866219,0.833333,1482,1.313099,0.891510,1.000000,5288,1.377216,1.202682,0.833333,1147
LF_Acc_X_spec_centroid,LF,Acc,X_spec_centroid,5.521404,1.894430,2.206956,21.018315,5.358572,6.194272,1.762955,6.037544,1480,5.083683,1.797157,4.673337,5281,6.669533,1.756103,6.221446,1146
LF_Acc_X_spec_power,LF,Acc,X_spec_power,13819.746510,11564.280229,0.007922,101896.740272,11414.456968,24575.973443,14698.828878,22933.388930,1480,11038.353972,8508.481130,9569.421284,5281,12745.853087,11140.038431,10916.479790,1146
LF_Acc_Y_mean,LF,Acc,Y_mean,-0.521246,1.811655,-6.058915,5.823265,-0.640108,0.290063,2.182502,0.750901,1480,-1.059380,1.518391,-1.097274,5281,0.910821,1.280174,0.998504,1146
LF_Acc_Y_std,LF,Acc,Y_std,2.325631,1.166149,0.003446,7.794129,2.246942,3.068381,1.249510,3.066580,1480,2.169536,1.054423,2.111219,5281,2.085722,1.167542,2.124764,1146
LF_Acc_Y_rms,LF,Acc,Y_rms,2.955305,1.260173,0.083728,7.986048,2.838880,3.739186,1.356150,3.673004,1480,2.810376,1.160983,2.699850,5281,2.610826,1.167901,2.660789,1146
LF_Acc_Y_dom_freq,LF,Acc,Y_dom_freq,1.385921,1.239961,0.166667,13.166667,1.000000,1.457377,1.392886,1.000000,1482,1.316818,1.010802,1.000000,5288,1.612177,1.821957,1.000000,1147
LF_Acc_Y_spec_centroid,LF,Acc,Y_spec_centroid,5.978398,1.844703,2.532281,17.624256,5.878466,6.732983,1.734352,6.827866,1480,5.457766,1.702630,5.057827,5281,7.403066,1.491791,7.163485,1146
LF_Acc_Y_spec_power,LF,Acc,Y_spec_power,4074.549907,3838.298098,0.007148,36570.954561,3039.375823,6607.123221,4759.186865,5661.213359,1480,3502.761281,3343.174803,2683.287155,5281,3438.779605,3274.920944,2717.831996,1146
LF_Acc_Z_mean,LF,Acc,Z_mean,7.861417,1.078670,0.777654,10.999987,7.955677,8.309082,1.128609,8.468705,1480,7.630620,1.040130,7.742660,5281,8.346841,0.811895,8.311094,1146
LF_Acc_Z_std,LF,Acc,Z_std,3.212236,1.746747,0.003923,10.864504,3.021756,4.535664,1.906028,4.701944,1480,2.876179,1.501529,2.729067,5281,3.051718,1.779738,3.149535,1146
LF_Acc_Z_rms,LF,Acc,Z_rms,8.650588,1.225557,2.456945,14.015720,8.541353,9.631965,1.320194,9.553611,1480,8.290012,1.053810,8.270963,5281,9.044797,0.999281,9.114667,1146
LF_Acc_Z_dom_freq,LF,Acc,Z_dom_freq,1.765273,1.241188,0.166667,11.166667,1.333333,2.423752,1.492672,1.833333,1482,1.504003,1.001360,1.000000,5288,2.119006,1.461169,1.666667,1147
LF_Acc_Z_spec_centroid,LF,Acc,Z_spec_centroid,5.625309,1.754552,2.217988,18.234418,5.387559,6.183458,1.681456,5.976439,1480,5.245126,1.661174,4.770877,5281,6.656444,1.656976,6.186975,1146
LF_Acc_Z_spec_power,LF,Acc,Z_spec_power,8048.337502,8386.659178,0.009264,71059.327135,5496.927970,14570.187467,10339.648682,13309.322846,1480,6337.055051,6989.161581,4483.585489,5281,7511.640015,7316.513307,5971.648435,1146
LF_FreeAcc_X_mean,LF,FreeAcc,X_mean,1.949043,1.454257,-5.759901,7.207719,1.916905,2.814236,1.920455,3.211299,1480,1.803018,1.245669,1.781127,5281,1.504601,1.191512,1.522165,1146
LF_FreeAcc_X_std,LF,FreeAcc,X_std,4.327187,2.057221,0.003628,13.010098,4.354386,6.010914,2.166927,6.172108,1480,3.918999,1.725679,3.986963,5281,4.033750,2.214825,4.258343,1146
LF_FreeAcc_X_rms,LF,FreeAcc,X_rms,4.818225,2.378015,0.003718,14.873260,4.828885,6.775779,2.553879,7.047916,1480,4.371836,2.006500,4.381046,5281,4.347192,2.441663,4.634994,1146
LF_FreeAcc_X_dom_freq,LF,FreeAcc,X_dom_freq,1.297419,0.940369,0.166667,13.500000,0.833333,1.179712,0.866219,0.833333,1482,1.313099,0.891510,1.000000,5288,1.377216,1.202682,0.833333,1147
LF_FreeAcc_X_spec_centroid,LF,FreeAcc,X_spec_centroid,5.521404,1.894430,2.206956,21.018315,5.358572,6.194272,1.762955,6.037544,1480,5.083683,1.797157,4.673337,5281,6.669533,1.756103,6.221446,1146
LF_FreeAcc_X_spec_power,LF,FreeAcc,X_spec_power,13819.746510,11564.280229,0.007922,101896.740272,11414.456968,24575.973443,14698.828878,22933.388930,1480,11038.353972,8508.481130,9569.421284,5281,12745.853087,11140.038431,10916.479790,1146
LF_FreeAcc_Y_mean,LF,FreeAcc,Y_mean,-0.044654,0.538930,-3.789070,2.218253,-0.009397,-0.072108,0.619006,0.000919,1480,-0.070364,0.536221,-0.041805,5281,0.109278,0.396071,0.054646,1146
LF_FreeAcc_Y_std,LF,FreeAcc,Y_std,2.325631,1.166149,0.003446,7.794129,2.246942,3.068381,1.249510,3.066580,1480,2.169536,1.054423,2.111219,5281,2.085722,1.167542,2.124764,1146
LF_FreeAcc_Y_rms,LF,FreeAcc,Y_rms,2.382051,1.177582,0.003494,7.796457,2.310284,3.124110,1.266614,3.140617,1480,2.230685,1.065444,2.169468,5281,2.121247,1.175755,2.144741,1146
LF_FreeAcc_Y_dom_freq,LF,FreeAcc,Y_dom_freq,1.385921,1.239961,0.166667,13.166667,1.000000,1.457377,1.392886,1.000000,1482,1.316818,1.010802,1.000000,5288,1.612177,1.821957,1.000000,1147
LF_FreeAcc_Y_spec_centroid,LF,FreeAcc,Y_spec_centroid,5.978398,1.844703,2.532281,17.624256,5.878466,6.732983,1.734352,6.827866,1480,5.457766,1.702630,5.057827,5281,7.403066,1.491791,7.163485,1146
LF_FreeAcc_Y_spec_power,LF,FreeAcc,Y_spec_power,4074.549907,3838.298098,0.007148,36570.954561,3039.375823,6607.123221,4759.186865,5661.213359,1480,3502.761281,3343.174803,2683.287155,5281,3438.779605,3274.920944,2717.831996,1146
LF_FreeAcc_Z_mean,LF,FreeAcc,Z_mean,-0.052330,0.480060,-2.337693,2.728385,-0.031201,0.116926,0.571565,0.128600,1480,-0.112767,0.463430,-0.094993,5281,0.007595,0.348488,0.004255,1146
LF_FreeAcc_Z_std,LF,FreeAcc,Z_std,3.212236,1.746747,0.003923,10.864504,3.021756,4.535664,1.906028,4.701944,1480,2.876179,1.501529,2.729067,5281,3.051718,1.779738,3.149535,1146
LF_FreeAcc_Z_rms,LF,FreeAcc,Z_rms,3.248873,1.745731,0.003929,10.875504,3.059561,4.569790,1.913730,4.761885,1480,2.917427,1.497683,2.770114,5281,3.070347,1.781803,3.188630,1146
LF_FreeAcc_Z_dom_freq,LF,FreeAcc,Z_dom_freq,1.765273,1.241188,0.166667,11.166667,1.333333,2.423752,1.492672,1.833333,1482,1.504003,1.001360,1.000000,5288,2.119006,1.461169,1.666667,1147
LF_FreeAcc_Z_spec_centroid,LF,FreeAcc,Z_spec_centroid,5.625309,1.754552,2.217988,18.234418,5.387559,6.183458,1.681456,5.976439,1480,5.245126,1.661174,4.770877,5281,6.656444,1.656976,6.186975,1146
LF_FreeAcc_Z_spec_power,LF,FreeAcc,Z_spec_power,8048.337502,8386.659178,0.009264,71059.327135,5496.927970,14570.187467,10339.648682,13309.322846,1480,6337.055051,6989.161581,4483.585489,5281,7511.640015,7316.513307,5971.648435,1146
LF_Gyr_X_mean,LF,Gyr,X_mean,-0.001444,0.200253,-1.028683,1.205946,-0.004855,0.077653,0.243696,0.044898,1480,-0.045610,0.174041,-0.027625,5281,0.099937,0.182022,0.053624,1146
LF_Gyr_X_std,LF,Gyr,X_std,0.847921,0.408697,0.002595,2.424607,0.824519,1.014042,0.439925,1.035083,1480,0.831140,0.384605,0.803023,5281,0.710715,0.406713,0.720524,1146
LF_Gyr_X_rms,LF,Gyr,X_rms,0.864802,0.422162,0.002602,2.434157,0.836170,1.038061,0.457858,1.050416,1480,0.845553,0.395122,0.813293,5281,0.729751,0.425558,0.725621,1146
