sensors,model,macro_f1_mean,macro_f1_std,balanced_acc_mean,balanced_acc_std
subsets_lblfrf,XGB,0.7828860010393527,0.03670722945707743,0.7758331360210164,0.03750712198111881
subsets_lbrf,LR,0.7661952888003195,0.06309386672772023,0.7758101408307195,0.06374763394724112
subsets_lbrf,RF,0.7550209306950572,0.051709879205535214,0.7438118587989999,0.04350182199141166
subsets_lbrf,SVM,0.8130122620551647,0.032694466757481846,0.8110058489831257,0.02717659394929985
subsets_lbrf,XGB,0.7899842260020133,0.037515009721978874,0.7819446829745994,0.03572884107899482
subsets_lf,LR,0.7501459661412033,0.05560733198705043,0.7648534903783318,0.06508783346515766
subsets_lf,RF,0.7531405813133976,0.04916621939486018,0.7502842524749797,0.05151054326009031
subsets_lf,SVM,0.7612362377711491,0.057254547618780266,0.7688722750644877,0.060692197307120076
subsets_lf,XGB,0.7336476664283375,0.06478125314050386,0.733608351511759,0.06825160002103323
subsets_lfrf,LR,0.7277007329958685,0.0767291888071904,0.7324145403168691,0.08118926525687065
subsets_lfrf,RF,0.7682657591991358,0.05166405285320546,0.7635222772902417,0.05617422760899093
subsets_lfrf,SVM,0.7930336628636677,0.053325930020187345,0.7918784743225001,0.05954222740874821
subsets_lfrf,XGB,0.7982040048651212,0.03032967294631894,0.7967072098796816,0.03677872970589105
subsets_rf,LR,0.7655865351392939,0.06390303591697204,0.7713677749905428,0.07362958362381933
subsets_rf,RF,0.761353065407112,0.04877358456217224,0.7536262550561552,0.045621245349872754
subsets_rf,SVM,0.7933082778556446,0.0406490864180176,0.7920922655744741,0.04392760912007552
subsets_rf,XGB,0.7837858022074204,0.034365122808647,0.7828719571038184,0.03723228729170404
