Feature,d_healthy_vs_neuro,d_healthy_vs_neuro_interp,d_healthy_vs_ortho,d_healthy_vs_ortho_interp,d_neuro_vs_ortho,d_neuro_vs_ortho_interp
LF_Acc_Z_rms,1.376104,Large,0.603969,Medium,-0.760550,Medium
LF_Acc_Z_dom_freq,0.951788,Large,0.125268,Negligible,-0.806934,Large
LF_Acc_Z_spec_centroid,0.623528,Medium,-0.279923,Small,-0.870002,Large
LF_Acc_Z_spec_power,1.424507,Large,0.964165,Large,-0.315392,Small
LF_FreeAcc_X_mean,1.104667,Large,0.985385,Large,0.020226,Negligible
LF_FreeAcc_X_std,1.698833,Large,1.252343,Large,-0.369383,Small
LF_FreeAcc_X_rms,1.711368,Large,1.395025,Large,-0.269393,Small
LF_FreeAcc_X_dom_freq,-0.040175,Negligible,-0.018282,Negligible,0.022680,Negligible
LF_FreeAcc_X_spec_centroid,0.598281,Medium,-0.357000,Small,-0.909913,Large
LF_FreeAcc_X_spec_power,1.883116,Large,1.172630,Large,-0.409706,Small
LF_FreeAcc_Y_mean,-0.027016,Negligible,-0.621852,Medium,-0.603627,Medium
LF_FreeAcc_Y_std,1.115132,Large,1.028735,Large,-0.093956,Negligible
LF_FreeAcc_Y_rms,1.103736,Large,1.043265,Large,-0.075985,Negligible
LF_FreeAcc_Y_dom_freq,0.147579,Negligible,-0.077040,Negligible,-0.249040,Small
LF_FreeAcc_Y_spec_centroid,0.862550,Large,-0.580089,Medium,-1.405753,Large
LF_FreeAcc_Y_spec_power,1.068071,Large,0.890628,Large,-0.071084,Negligible
LF_FreeAcc_Z_mean,0.513455,Medium,0.328580,Small,-0.181749,Negligible
LF_FreeAcc_Z_std,1.464668,Large,1.030655,Large,-0.362962,Small
LF_FreeAcc_Z_rms,1.468961,Large,1.042278,Large,-0.348768,Small
LF_FreeAcc_Z_dom_freq,0.951788,Large,0.125268,Negligible,-0.806934,Large
LF_FreeAcc_Z_spec_centroid,0.623528,Medium,-0.279923,Small,-0.870002,Large
LF_FreeAcc_Z_spec_power,1.424507,Large,0.964165,Large,-0.315392,Small
LF_Gyr_X_mean,0.797695,Medium,-0.113065,Negligible,-1.073977,Large
LF_Gyr_X_std,0.715909,Medium,1.142378,Large,0.250850,Small
LF_Gyr_X_rms,0.737114,Medium,1.140672,Large,0.243169,Small
LF_Gyr_X_dom_freq,-0.204162,Small,-0.105062,Negligible,0.104497,Negligible
