Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
RF_Gyr_X_mean,RF,Gyr,X_mean,-0.028939,0.521550,-0.925542,1.047032,-0.132623,0.581082,0.167425,0.573152,29,-0.107965,0.516031,-0.284071,612,0.252467,0.396817,0.393151,109
RF_Gyr_X_std,RF,Gyr,X_std,0.991601,0.344691,0.041513,2.186937,0.995826,1.213056,0.373891,1.164125,29,0.988795,0.346433,0.987409,612,0.948436,0.306054,0.959179,109
RF_Gyr_X_rms,RF,Gyr,X_rms,1.108192,0.382780,0.041554,2.339656,1.120880,1.347280,0.402007,1.307907,29,1.107477,0.385722,1.120880,612,1.048593,0.337037,1.059486,109
RF_Gyr_X_dom_freq,RF,Gyr,X_dom_freq,0.962667,0.535159,0.333333,4.333333,1.000000,0.977011,0.344239,1.000000,29,0.950436,0.505196,1.000000,612,1.027523,0.711644,0.666667,109
RF_Gyr_X_spec_centroid,RF,Gyr,X_spec_centroid,5.584894,1.751725,2.493217,12.423036,5.064290,4.914741,1.289482,4.801718,29,5.578813,1.738316,5.042602,612,5.797332,1.894262,5.243486,109
RF_Gyr_X_spec_power,RF,Gyr,X_spec_power,332.794794,217.767784,0.520471,1444.437444,299.496068,485.177523,310.046687,409.284222,29,331.468621,216.134866,294.460487,612,299.698636,179.809126,277.841040,109
RF_Gyr_Y_mean,RF,Gyr,Y_mean,0.028678,0.170971,-0.581180,0.680344,0.004474,0.028189,0.260472,-0.000307,29,0.029153,0.167336,0.005643,612,0.026142,0.163435,-0.001477,109
RF_Gyr_Y_std,RF,Gyr,Y_std,1.347209,0.621630,0.048806,3.660079,1.321024,1.554649,0.713826,1.561562,29,1.345103,0.625194,1.322690,612,1.303844,0.568367,1.263127,109
RF_Gyr_Y_rms,RF,Gyr,Y_rms,1.358804,0.620532,0.049356,3.684861,1.331678,1.578029,0.708774,1.614959,29,1.356164,0.624333,1.339308,612,1.315302,0.565823,1.272602,109
RF_Gyr_Y_dom_freq,RF,Gyr,Y_dom_freq,1.673333,0.709013,0.333333,7.333333,1.666667,1.551724,0.490188,1.666667,29,1.694989,0.741759,1.666667,612,1.584098,0.544626,1.666667,109
RF_Gyr_Y_spec_centroid,RF,Gyr,Y_spec_centroid,6.124164,2.280127,2.435824,13.563531,5.687570,6.182067,2.566169,5.902517,29,6.094975,2.230767,5.662538,612,6.272644,2.483454,5.871202,109
RF_Gyr_Y_spec_power,RF,Gyr,Y_spec_power,664.689001,568.438131,0.719385,4045.733719,527.045789,878.513355,712.141822,736.438845,29,664.281553,573.871965,528.377530,612,610.087641,480.617027,481.859575,109
RF_Gyr_Z_mean,RF,Gyr,Z_mean,-0.008735,0.511773,-1.301322,1.134561,-0.087126,0.607405,0.216681,0.637957,29,-0.081824,0.496339,-0.210145,612,0.237711,0.465840,0.354998,109
RF_Gyr_Z_std,RF,Gyr,Z_std,1.168977,0.392473,0.027553,2.370934,1.198695,1.507902,0.407766,1.481290,29,1.155169,0.386860,1.192081,612,1.156335,0.382591,1.144757,109
RF_Gyr_Z_rms,RF,Gyr,Z_rms,1.266070,0.423416,0.027691,2.427747,1.306130,1.633625,0.431591,1.617979,29,1.250225,0.416769,1.302461,612,1.257244,0.417858,1.248869,109
RF_Gyr_Z_dom_freq,RF,Gyr,Z_dom_freq,1.180000,0.872727,0.333333,8.000000,1.000000,0.988506,0.412914,1.000000,29,1.220044,0.911755,1.000000,612,1.006116,0.696821,1.000000,109
RF_Gyr_Z_spec_centroid,RF,Gyr,Z_spec_centroid,5.476350,1.820651,2.240902,16.166853,5.047020,5.358946,1.753641,5.377199,29,5.505281,1.808610,5.064278,612,5.345148,1.913023,4.794002,109
RF_Gyr_Z_spec_power,RF,Gyr,Z_spec_power,459.160155,284.159908,0.229271,1697.717070,433.953230,735.189660,357.012248,662.673974,29,448.134816,276.879557,429.168908,612,447.624852,268.249539,395.778823,109
