feature,healthy_median,healthy_mean,healthy_std,healthy_n,ortho_median,ortho_mean,ortho_std,ortho_n,neuro_median,neuro_mean,neuro_std,neuro_n,direction,kw_stat,kw_p,healthy_vs_ortho_p,healthy_vs_ortho_r,healthy_vs_neuro_p,healthy_vs_neuro_r,ortho_vs_neuro_p,ortho_vs_neuro_r,h_vs_n_direction,h_vs_n_concordance,h_vs_o_direction,h_vs_o_concordance
HE_Acc_X__std,1.5758875019973526,1.594245651376832,0.3927056266661702,73,1.1124863012222055,1.1556025677666926,0.3459186627895018,44,1.081730383675599,1.1291101203175395,0.38269825582910016,143,↓ H>O>N,62.586837243761124,2.5670892770559793e-14,6.473227823472952e-09,-0.6425902864259028,4.866025259759056e-14,-0.6273589424274355,0.5849027317478304,-0.05467260012714559,H > N,0.8951048951048951,H > O,0.9090909090909091
LF_Acc_Z__rms,9.689925277513815,9.565539228822143,1.0549743614258948,73,9.123560929863338,9.052071143102031,0.8854996934809821,44,8.359924065817742,8.364740197491761,0.8608546674617373,143,↓ H>O>N,62.21086461713617,3.09800697470217e-14,0.006086819958244673,-0.30386052303860533,1.769547753136279e-13,-0.6131813392087364,1.0199614192954612e-05,-0.44055944055944063,H > N,0.9300699300699301,H > O,0.7954545454545454
LF_Acc_X__rms,10.600302844025828,10.538029687572559,1.3215705642582558,73,8.473809177398753,8.654138348287896,1.2908172110118579,44,8.577304220520652,8.805054976559207,1.475807406892417,143,∨ valley-ortho,61.85681091675781,3.697976741771365e-14,2.782044201656637e-10,-0.6986301369863013,4.309703630936063e-13,-0.60321869910911,0.589288532321615,0.05403687221869036,H > N,0.8531468531468531,H > O,0.9318181818181818
RF_Acc_Z__rms,9.762761350709795,9.553667674225101,1.1109418320703535,73,8.663121203416111,8.891546000050589,0.8807099240515718,44,8.48621494917304,8.363054178220285,0.8646485075470334,143,↓ H>O>N,60.91261538868093,5.929166268394546e-14,9.313420843850851e-05,-0.43275217932752175,5.602563402150447e-14,-0.6258262285659546,0.0014393058309366893,-0.3181818181818181,H > N,0.951048951048951,H > O,0.8636363636363636
HE_Gyr_X__rms,0.654143167451039,0.6818797397669794,0.12489650224450775,73,0.5268052344291714,0.5221369775761101,0.12779278277956746,44,0.521149477203356,0.5158137105798156,0.14904513313455842,143,↓ H>O>N,60.90404946966123,5.954615106719091e-14,3.069474397745838e-09,-0.6562889165628891,1.863509127528396e-13,-0.6126065715106812,0.6940575525977718,-0.03941513032422117,H > N,0.8461538461538461,H > O,0.9090909090909091
RF_Acc_Y__mean,-1.3943853510210205,-0.5070574634232422,3.0570210222977896,73,-1.593594243127416,-1.1592712043586548,1.4718995947006672,44,1.1481247594382693,1.1236018104299323,1.6855890355224024,143,∨ valley-ortho,60.13986602220871,8.725574322166622e-14,0.5832707396749115,-0.06102117061021173,1.9813564872781582e-08,0.4673819331353578,5.18460589802119e-12,0.6888111888111887,H < N,0.9370629370629371,H > O,0.5454545454545454
RF_Acc_Y__rms,4.11275120454419,4.341536658279342,1.5005337610676488,73,3.1402855057031522,3.2069313182838584,0.7799705368564116,44,2.6129090634469354,2.898362229321912,1.0727240544795729,143,↓ H>O>N,59.76784990381168,1.0509360644879337e-13,3.5923294443415673e-06,-0.5130759651307597,1.0339221256476914e-13,-0.6191206054219753,0.012805872360040911,-0.24856961220597573,H > N,0.9020979020979021,H > O,0.8863636363636364
LF_Gyr_Z__spec_power,4414523.087984503,4740878.831250923,2478105.866160946,73,3927802.27200095,4652360.641440004,3237275.78823463,44,6958382.69336362,9107612.582681691,6857101.610586232,143,∨ valley-ortho,59.69232099005717,1.0913830159007019e-13,0.6791889345003747,-0.04607721046077207,1.2323357911223326e-10,0.5357792892039468,3.423672912655792e-09,0.5899554990464082,H < N,0.8181818181818182,H > O,0.6136363636363636
LF_FreeAcc_X__mean,2.983948797483195,2.682331545275973,1.296342058725575,73,1.588205630081367,1.6086327883349136,0.6290900552709333,44,1.9348336519482532,1.9327476669080574,0.9370756234446577,143,∨ valley-ortho,59.66150209600494,1.1083308678268703e-13,4.86788639580738e-11,-0.727895392278954,9.517521899246532e-11,-0.5390363061595937,0.006310661269825655,0.2727272727272727,H > N,0.8951048951048951,H > O,0.9545454545454546
LF_Gyr_X__mean,0.08259219216795725,0.06158629768079453,0.14543840003909214,73,0.08301795079090234,0.0808194352203263,0.10388430733160094,44,-0.04153522852857865,-0.04330867750045698,0.0870763609157913,143,∧ peak-ortho,59.11264068404978,1.458321135528856e-13,0.7762926388153981,0.03175591531755917,1.273564618091205e-08,-0.4737043778139669,1.605924642831886e-11,-0.6726001271455817,H > N,0.9230769230769231,H < O,0.5227272727272727
HE_Gyr_X__std,0.6389842812203115,0.6512479758368852,0.11270008538474788,73,0.5163578220671939,0.5082183443989856,0.12486553591297919,44,0.5014099226923416,0.4937584397552257,0.14264701849666728,143,↓ H>O>N,59.01616112349552,1.530394655899859e-13,2.4988656367469666e-08,-0.6170610211706102,2.175790506977253e-13,-0.6108822684165149,0.5376907863855461,-0.06166560712015268,H > N,0.8671328671328671,H > O,0.9090909090909091
RF_FreeAcc_Z__std,4.553167223238295,4.591386786164587,1.1106454241194523,73,3.3679079137711656,3.3948766468110816,0.8962689800506659,44,3.200429333248958,3.2858127666088595,1.0764961309161334,143,↓ H>O>N,58.156354892881495,2.3523827778560814e-13,3.44674382306363e-08,-0.6108343711083437,3.574207646074912e-13,-0.6053261806686465,0.3598220789162301,-0.09154481881754606,H > N,0.8601398601398601,H > O,0.9090909090909091
RF_Acc_Z__std,4.5531672232382965,4.591386786164587,1.110645424119452,73,3.3679079137711687,3.394876646811082,0.8962689800506659,44,3.2004293332489597,3.28581276660886,1.0764961309161336,143,↓ H>O>N,58.156354892881495,2.3523827778560814e-13,3.44674382306363e-08,-0.6108343711083437,3.574207646074912e-13,-0.6053261806686465,0.3598220789162301,-0.09154481881754606,H > N,0.8601398601398601,H > O,0.9090909090909091
RF_FreeAcc_Z__rms,4.584131743935121,4.615522215554916,1.1104175296670116,73,3.3749461050503786,3.4097163475979486,0.9036000212137071,44,3.209239010253456,3.3186374939184176,1.0719321002272564,143,↓ H>O>N,57.909386322409205,2.6615616785480585e-13,2.9359125134079097e-08,-0.613947696139477,4.309703630936063e-13,-0.60321869910911,0.3977575707780737,-0.08455181182453919,H > N,0.8671328671328671,H > O,0.9090909090909091
HE_Gyr_Z__rms,0.25634266900027225,0.2704436567423787,0.0757129165269266,73,0.21240184074288948,0.225442257176341,0.06293981681044597,44,0.1839384330664164,0.19046845983400437,0.06816814276798801,143,↓ H>O>N,56.80464610241688,4.624106475040872e-13,0.000928388263032827,-0.3667496886674968,3.5138097664510913e-13,-0.6055177699013314,0.0008488676434246744,-0.3331214240305149,H > N,0.8671328671328671,H > O,0.75
RF_Acc_X__rms,10.728271130883527,10.824235680588027,1.7113120471869474,73,8.667963362357295,8.753528063672752,1.26417960244193,44,8.885097928013696,9.03664566013154,1.6613129516948777,143,∨ valley-ortho,56.68614058990681,4.906377620192138e-13,2.1552603604908765e-10,-0.7029887920298878,1.6711371252715277e-11,-0.5604943002203275,0.29985873713578093,0.10362364907819455,H > N,0.8251748251748252,H > O,0.9318181818181818
HE_Gyr_Z__std,0.2525343771008811,0.264024947315307,0.0740453042427023,73,0.2087532463903699,0.2216929955120752,0.06198370644046157,44,0.17752800757338744,0.18627206725947382,0.06638263367992403,143,↓ H>O>N,56.38704408305614,5.697822973404561e-13,0.0017071891224244653,-0.3474470734744708,4.691338691791428e-13,-0.6022607529456845,0.0005651195291279923,-0.34424666242848057,H > N,0.8741258741258742,H > O,0.75
HE_Acc_X__spec_centroid_hz,2.4198752707442837,2.4969346740154474,0.4694475682741943,73,2.840082049134099,2.8852984559261334,0.4048651294703164,44,2.1926680637231497,2.2956418008708748,0.49429926238070937,143,∧ peak-ortho,55.61042055699954,8.40137959969683e-13,1.5704149211996746e-05,0.47820672478206727,0.0005651548386261757,-0.28709646517865695,6.171510366651726e-13,-0.7183725365543547,H > N,0.6433566433566433,H < O,0.8636363636363636
LF_Gyr_Y__std,3.1605470294974127,3.1667001296000135,0.5398232593585124,73,2.3780934929758155,2.3055755770575783,0.5464310613178703,44,2.5753757924343867,2.5033603625205103,0.7295911342882329,143,∨ valley-ortho,55.4870020469217,8.936153018647253e-13,2.858213751230726e-11,-0.7366127023661271,5.230135452239943e-10,-0.5171951336334899,0.0309374135859545,0.21551176096630642,H > N,0.8321678321678322,H > O,0.9318181818181818
LF_Gyr_Y__rms,3.1605920063006483,3.167219384650377,0.5401695408391521,73,2.378636724036088,2.3057503560971107,0.5464516792345755,44,2.575423459923626,2.5040596613421062,0.7297805466469754,143,∨ valley-ortho,55.35425601250972,9.549398828994738e-13,2.858213751230726e-11,-0.7366127023661271,5.710179674907977e-10,-0.516045598237379,0.03069056327466136,0.21582962492053404,H > N,0.8321678321678322,H > O,0.9318181818181818
LF_FreeAcc_Y__std,3.060145423059408,3.120397887590414,0.6821313810646843,73,2.2522739115666015,2.435307534357093,0.7313503518136915,44,2.218622049573085,2.2991017502828583,0.7135349003168491,143,↓ H>O>N,53.34746955683511,2.604618818197566e-12,3.3104424920269857e-06,-0.5149439601494397,6.360431076374634e-13,-0.5988121467573522,0.39068646350908665,-0.08582326764144943,H > N,0.8671328671328671,H > O,0.7727272727272727
LF_Acc_Y__std,3.060145423059407,3.120397887590414,0.6821313810646843,73,2.252273911566602,2.4353075343570927,0.7313503518136912,44,2.218622049573085,2.299101750282858,0.7135349003168492,143,↓ H>O>N,53.34746955683511,2.604618818197566e-12,3.3104424920269857e-06,-0.5149439601494397,6.360431076374634e-13,-0.5988121467573522,0.39068646350908665,-0.08582326764144943,H > N,0.8671328671328671,H > O,0.7727272727272727
LF_Gyr_Y__spec_power,23841432.376788896,24181057.614150446,6463429.844699485,73,20534317.052042305,21195131.33556207,7167302.6496024905,44,29331546.5547733,34494582.650181696,21438134.12432109,143,∨ valley-ortho,52.40192736481208,4.1789391962294195e-12,0.005781060393126608,-0.30572851805728507,1.4837034861195983e-07,0.4374940128364786,1.448299950698886e-09,0.6039415130324222,H < N,0.7692307692307693,H > O,0.75
LF_FreeAcc_Y__rms,3.098264628531289,3.1587971120623934,0.6878358103985037,73,2.2783568243453596,2.458574319931328,0.7355903709044574,44,2.2658477969358555,2.357797340610059,0.7253807005754465,143,↓ H>O>N,51.8249302524564,5.5764701671871794e-12,1.657666790258586e-06,-0.5305105853051058,1.9457641471227875e-12,-0.5859756681674491,0.5696732077873898,-0.05689764780673867,H > N,0.8531468531468531,H > O,0.7727272727272727
LB_FreeAcc_Z__std,1.3462381936540757,1.3837729311222553,0.3399606001804304,73,1.036683014334233,1.0072581617922565,0.2556574363292226,44,1.021938212353033,1.0539912234694262,0.2716536650992922,143,↓ H>O>N,51.252675723196376,7.423742086156265e-12,2.4193724982599928e-08,-0.6176836861768369,3.233274517667295e-11,-0.5524475524475525,0.3802240926949817,0.08773045136681501,H > N,0.8601398601398601,H > O,0.9318181818181818
LB_Acc_Z__std,1.3462381936540757,1.383772931122255,0.3399606001804304,73,1.0366830143342338,1.0072581617922565,0.2556574363292228,44,1.021938212353033,1.053991223469426,0.2716536650992921,143,↓ H>O>N,51.252675723196376,7.423742086156265e-12,2.4193724982599928e-08,-0.6176836861768369,3.233274517667295e-11,-0.5524475524475525,0.3802240926949817,0.08773045136681501,H > N,0.8601398601398601,H > O,0.9318181818181818
LB_Gyr_Y__rms,0.20867054298710858,0.23954047616139293,0.09779938174337452,73,0.17924446599687896,0.18215249752221305,0.04813644411827901,44,0.2651827642063223,0.29038603222646275,0.11066243234351696,143,∨ valley-ortho,50.98083015055511,8.50459019477431e-12,1.8289388342732738e-05,-0.47447073474470725,8.783902472710247e-05,0.3265638471117923,8.608992195726575e-11,0.6478067387158296,H < N,0.7342657342657343,H > O,0.8181818181818182
LB_Gyr_Y__std,0.20799273857255657,0.23775000227486223,0.09710604100147417,73,0.1779371490928052,0.18097982717229077,0.048225376607034666,44,0.2648948120521963,0.28957498678270527,0.11083500485356859,143,∨ valley-ortho,50.52735188699717,1.0669030217004809e-11,2.731329504009958e-05,-0.464508094645081,9.039118920719904e-05,0.3259890794137369,9.367869325310414e-11,0.6465352828989193,H < N,0.7272727272727273,H > O,0.8181818181818182
HE_Gyr_Z__spec_centroid_hz,1.412384967122065,1.440878299528357,0.448639457056039,73,1.1782340709682837,1.2856832782091614,0.34411161033627047,44,1.8241588901456587,1.8670198889805774,0.5888616307935279,143,∨ valley-ortho,50.07069824365533,1.340559281455348e-11,0.06702222420234905,-0.20298879202988784,1.6600982446058045e-07,0.43576970974231244,2.1888804221997605e-09,0.5972663699936427,H < N,0.7622377622377622,H > O,0.7272727272727273
RF_Gyr_X__spec_power,2590705.5516855293,2836820.029068983,981327.6634942334,73,2383893.8434800915,3080408.6440142407,1907622.0474785885,44,3799567.6863170182,4890099.4875688115,4095129.651061495,143,∨ valley-ortho,49.051494141917715,2.231533354230866e-11,0.32064609352359363,-0.11021170610211706,3.95559834295304e-10,0.5208353290545071,1.6783622399591998e-06,0.4780673871582962,H < N,0.8461538461538461,H < O,0.4090909090909091
LB_Gyr_X__spec_power,1020346.444569217,1018462.6321973895,273289.95928946655,73,909101.3338705867,1027509.9983509985,431636.20973711944,44,1283383.8135300875,1580815.2367664643,1003217.6642960373,143,∨ valley-ortho,48.6069223171728,2.7870254059849837e-11,0.2888477590047127,-0.11768368617683689,9.983835612521176e-09,0.4771529840022991,7.533020327423738e-08,0.5368722186904005,H < N,0.7622377622377622,H < O,0.2727272727272727
LF_FreeAcc_Z__dom_freq_hz,1.7553395646329857,2.143300089577468,1.1348382156424648,73,1.6249832118250984,1.8427396824148148,1.0181515222898763,44,0.9938133947852458,1.1752919130882622,0.5357704027080559,143,↓ H>O>N,48.577977745157455,2.8276533150168795e-11,0.12520089209929583,-0.16998754669987548,3.133889657133419e-11,-0.5528307309129228,0.00010540181108575322,-0.3871582962492053,H > N,0.8881118881118881,H > O,0.5454545454545454
LF_Acc_Z__dom_freq_hz,1.7553395646329857,2.143300089577468,1.1348382156424648,73,1.6249832118250984,1.8427396824148148,1.0181515222898763,44,0.9938133947852458,1.1752919130882622,0.5357704027080559,143,↓ H>O>N,48.577977745157455,2.8276533150168795e-11,0.12520089209929583,-0.16998754669987548,3.133889657133419e-11,-0.5528307309129228,0.00010540181108575322,-0.3871582962492053,H > N,0.8881118881118881,H > O,0.5454545454545454
LB_FreeAcc_Y__dom_freq_hz,2.8825149276841815,2.951770232431297,2.0701666636119147,73,0.841035188178058,1.5568757364306622,1.3592864695317706,44,0.885829502507147,1.3290931183398271,1.0427556721481266,143,∨ valley-ortho,45.40669310462556,1.3805809345156546e-10,1.8540281210558042e-06,-0.5280199252801991,8.295787701058515e-11,-0.54076060925376,0.7707203285390608,0.029243483788938374,H > N,0.916083916083916,H > O,0.8636363636363636
LB_Acc_Y__dom_freq_hz,2.8825149276841815,2.951770232431297,2.0701666636119147,73,0.841035188178058,1.5568757364306622,1.3592864695317706,44,0.885829502507147,1.3290931183398271,1.0427556721481266,143,∨ valley-ortho,45.40669310462556,1.3805809345156546e-10,1.8540281210558042e-06,-0.5280199252801991,8.295787701058515e-11,-0.54076060925376,0.7707203285390608,0.029243483788938374,H > N,0.916083916083916,H > O,0.8636363636363636
LB_Gyr_X__rms,0.6630420465661331,0.6749532527737452,0.1458893337347743,73,0.5058432136927556,0.5159671620374895,0.11850816297367867,44,0.5176913207238405,0.537324219448642,0.15247426029159833,143,∨ valley-ortho,44.70189989691289,1.9638385099672388e-10,2.0573171970906632e-08,-0.6207970112079702,1.8088771438726596e-09,-0.5007184596225691,0.44177963555158906,0.07692307692307687,H > N,0.7972027972027972,H > O,0.9090909090909091
RF_Gyr_Z__rms,1.5024003130519752,1.4934253650200142,0.4037525797872606,73,1.094251283084559,1.1387136016252153,0.364064237320227,44,1.0848606175545354,1.1146902201819782,0.3366171672526985,143,↓ H>O>N,44.38689355591907,2.2988388600010383e-10,9.876706285712083e-06,-0.4894146948941469,6.49133092429285e-11,-0.5438260369767218,0.7585708212989745,-0.030832803560076227,H > N,0.8881118881118881,H > O,0.8409090909090909
