feature,kw_p,direction,kw_p_resid
HE_Acc_X__spec_power,0.0008951912186265722,∨ valley-ortho,9.05064654788103e-12
step_absAI,0.0012867961042865403,∨ valley-ortho,0.0014930380949023465
LF_Acc_X__dom_freq_hz,0.0013997444010894308,∨ valley-ortho,2.0853972342558382e-08
LF_FreeAcc_X__dom_freq_hz,0.0013997444010894308,∨ valley-ortho,2.0853972342558382e-08
RF_FreeAcc_X__dom_freq_hz,0.0015091826578687532,∨ valley-ortho,0.025393349116353783
RF_Acc_X__dom_freq_hz,0.0015091826578687532,∨ valley-ortho,0.025393349116353783
LF_Gyr_Z__mean,0.0015527777617590503,↓ H>O>N,0.06244439443264683
step_abs_diff,0.0018027046941217208,∨ valley-ortho,0.004154107794576928
LB_Acc_Y__rms,0.001998835679868639,↓ H>O>N,0.26620307340933763
LB_Gyr_Z__mean,0.0021624294942620146,∧ peak-ortho,0.06955806769302476
LF_Gyr_Y__dom_freq_hz,0.0022226276794777727,↓ H>O>N,0.22354010922225115
LF_FreeAcc_Z__mean,0.002600228303079603,↓ H>O>N,0.40094261915106594
HE_Acc_Z__dom_freq_hz,0.0030537620627149186,∨ valley-ortho,3.8391030928580994e-06
HE_FreeAcc_Z__dom_freq_hz,0.0030537620627149186,∨ valley-ortho,3.8391030928580994e-06
HE_FreeAcc_X__std,0.0031592547583324045,∨ valley-ortho,0.09658575715466947
RF_Gyr_Z__spec_power,0.003300886267965904,∨ valley-ortho,0.0023005901904053563
HE_FreeAcc_Z__rms,0.006940180539510352,↓ H>O>N,0.01547768309616267
HE_Gyr_Z__mean,0.006946733666100764,∧ peak-ortho,0.04267286434202932
LB_Acc_Y__mean,0.007627741636810547,∧ peak-ortho,0.11581270240664278
RF_Gyr_Y__dom_freq_hz,0.007885621748664359,↓ H>O>N,0.42891323157543615
LF_FreeAcc_Y__spec_power,0.008370031733122243,∨ valley-ortho,1.198556432500095e-07
LF_Acc_Y__spec_power,0.008370031733122243,∨ valley-ortho,1.198556432500095e-07
stride_AI,0.013713322206656858,↓ H>O>N,0.5683201995273369
LB_Acc_X__spec_power,0.013803865906826486,∨ valley-ortho,2.4963820787791125e-08
LB_FreeAcc_X__spec_power,0.013803865906826486,∨ valley-ortho,2.4963820787791125e-08
HE_Gyr_Z__dom_freq_hz,0.014194566174076424,∨ valley-ortho,0.002648952055886362
LF_FreeAcc_Y__dom_freq_hz,0.016970684256432,↓ H>O>N,0.6206907828100705
LF_Acc_Y__dom_freq_hz,0.016970684256432,↓ H>O>N,0.6206907828100705
HE_Acc_Y__mean,0.017329283999286443,∨ valley-ortho,0.2032975221175326
stride_CV_r,0.01793165612710057,∧ peak-ortho,0.021074156867675234
RF_FreeAcc_Z__spec_power,0.018294643926152144,∨ valley-ortho,0.001046554513649951
RF_Acc_Z__spec_power,0.018294643926152144,∨ valley-ortho,0.001046554513649951
HE_Gyr_Y__dom_freq_hz,0.022706983366476353,∨ valley-ortho,0.008845940509167212
LB_FreeAcc_Y__spec_power,0.028161265264034372,↑ H<O<N,5.920682700400144e-20
LB_Acc_Y__spec_power,0.028161265264034372,↑ H<O<N,5.920682700400144e-20
stride_CV_l,0.029804775747821772,∧ peak-ortho,0.06707445544003861
HE_Gyr_Y__spec_power,0.0320862954403891,∨ valley-ortho,8.430992307340946e-16
LF_Gyr_Y__mean,0.042672550527184265,↑ H<O<N,0.16635536267935747
HE_Gyr_Y__mean,0.06173899588228049,∨ valley-ortho,0.07386640194917646
LB_FreeAcc_Z__mean,0.06604711847898491,∧ peak-ortho,0.0464564840855293
HE_FreeAcc_Z__mean,0.06699116993035228,∨ valley-ortho,0.0033836542609543057
step_CV_r,0.06752853494050262,∨ valley-ortho,0.0010599231666914718
mean_step_time,0.07002050069286116,∧ peak-ortho,0.047378407437330974
LF_Acc_X__spec_power,0.07398329767638616,∨ valley-ortho,5.20433765239358e-12
LF_FreeAcc_X__spec_power,0.07398329767638616,∨ valley-ortho,5.20433765239358e-12
step_CV_l,0.07891268474634079,∨ valley-ortho,0.016369987412355628
HE_FreeAcc_Y__mean,0.0797702815534217,∨ valley-ortho,0.043091787125931355
HE_Acc_Y__dom_freq_hz,0.08075267320345274,∨ valley-ortho,0.00608850354524104
LF_Acc_Z__spec_power,0.08599362593227929,↓ H>O>N,1.3014142300466192e-14
LF_FreeAcc_Z__spec_power,0.08599362593227929,↓ H>O>N,1.3014142300466192e-14
LB_Acc_X__dom_freq_hz,0.09724468568297175,∨ valley-ortho,0.11025699325861966
LB_FreeAcc_X__dom_freq_hz,0.09724468568297175,∨ valley-ortho,0.11025699325861966
LF_Gyr_X__spec_centroid_hz,0.10065943695051915,∨ valley-ortho,0.3277392607979618
HE_Acc_Y__std,0.12091514824946173,↓ H>O>N,0.9081556890212461
RF_Acc_Y__spec_power,0.12435073492836991,↓ H>O>N,9.799255086169174e-10
RF_FreeAcc_Y__spec_power,0.12435073492836991,↓ H>O>N,9.799255086169174e-10
LF_Gyr_Y__spec_centroid_hz,0.1259372596388886,↑ H<O<N,0.7141845901787336
LF_Gyr_X__dom_freq_hz,0.13745164661396894,∨ valley-ortho,0.23483367431902089
RF_Gyr_Z__dom_freq_hz,0.13961592513913404,↓ H>O>N,0.20137972587775158
HE_Acc_Z__spec_power,0.1575462871158716,∧ peak-ortho,8.796225859096535e-27
HE_FreeAcc_Z__spec_power,0.1575462871158716,∧ peak-ortho,8.796225859096535e-27
RF_Gyr_Y__spec_centroid_hz,0.1857385464327945,∨ valley-ortho,0.3371349374585401
HE_Acc_Y__spec_centroid_hz,0.26136230794060406,∧ peak-ortho,0.2198950441841966
RF_Gyr_X__spec_centroid_hz,0.2832448315660481,↑ H<O<N,0.4457442383094383
HE_Gyr_X__spec_centroid_hz,0.30807984043486536,↑ H<O<N,0.005177792625077669
step_AI,0.3322984555547494,↓ H>O>N,0.6931876374852786
HE_Acc_Y__rms,0.33595304846539,∧ peak-ortho,0.6712408876028472
RF_Gyr_X__mean,0.38076282117324645,∨ valley-ortho,0.47439073247036356
HE_FreeAcc_Y__spec_power,0.38897522241426125,∨ valley-ortho,4.080633527952673e-16
RF_Acc_X__spec_power,0.3929820430311185,∨ valley-ortho,0.00015915689061955354
RF_FreeAcc_X__spec_power,0.3929820430311185,∨ valley-ortho,0.00015915689061955354
LB_FreeAcc_X__mean,0.5032382124247454,↓ H>O>N,0.5012750604355984
LF_Gyr_Z__dom_freq_hz,0.5490018111009185,∨ valley-ortho,0.6001698841336631
RF_FreeAcc_Y__dom_freq_hz,0.5593393167499872,∧ peak-ortho,0.4560564048163971
RF_Acc_Y__dom_freq_hz,0.5593393167499872,∧ peak-ortho,0.4560564048163971
RF_Gyr_Y__mean,0.5907404056837136,∧ peak-ortho,0.6872030216503945
RF_Gyr_X__dom_freq_hz,0.6514946681198588,∨ valley-ortho,0.5396266643100076
HE_Acc_Z__spec_centroid_hz,0.6578937303115553,↓ H>O>N,0.34840191786671953
HE_FreeAcc_Z__spec_centroid_hz,0.6578937303115553,↓ H>O>N,0.34840191786671953
LB_FreeAcc_Y__mean,0.7285954025682002,∧ peak-ortho,0.8691991077884851
LB_Acc_Z__rms,0.7664073624252646,∨ valley-ortho,0.5348617765957
LB_Gyr_X__dom_freq_hz,0.7982186189380046,∧ peak-ortho,0.13178342480433647
HE_Gyr_Z__spec_power,0.8471822982224642,∨ valley-ortho,1.6418546151122107e-15
LB_Acc_Z__mean,0.8658969299653788,∧ peak-ortho,0.7439556228726887
